2022-04-26 13:28:12,307 - DEBUG    - decos.py - Была вызвана функция send_message с параметрами (<socket.socket fd=392, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 64868), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1650954492.3079383, 'user': {'account_name': 'test3'}}), {}.Вызов из модуля common.utils.
2022-04-26 13:28:12,307 - DEBUG    - client.py - Сформировано presence сообщение для пользователя test2
2022-04-26 13:28:12,307 - DEBUG    - decos.py - Была вызвана функция create_presence с параметрами ('test2',), {}.Вызов из модуля __main__.
2022-04-26 13:28:12,307 - DEBUG    - decos.py - Была вызвана функция get_message с параметрами (<socket.socket fd=436, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 64867), raddr=('127.0.0.1', 7777)>,), {}.Вызов из модуля common.utils.
2022-04-26 13:28:12,307 - DEBUG    - client.py - Разбор сообщения от сервера: {'response': 200}
2022-04-26 13:28:12,307 - DEBUG    - decos.py - Была вызвана функция process_response_ans с параметрами ({'response': 200},), {}.Вызов из модуля __main__.
2022-04-26 13:28:12,307 - DEBUG    - decos.py - Была вызвана функция send_message с параметрами (<socket.socket fd=308, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 64869), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1650954492.3079383, 'user': {'account_name': 'test2'}}), {}.Вызов из модуля common.utils.
2022-04-26 13:28:12,307 - INFO     - client.py - Установлено соединение с сервером. Ответ сервера: 200 : OK
2022-04-26 13:28:12,307 - DEBUG    - client.py - Запущены процессы
2022-04-26 13:28:12,307 - DEBUG    - decos.py - Была вызвана функция get_message с параметрами (<socket.socket fd=392, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 64868), raddr=('127.0.0.1', 7777)>,), {}.Вызов из модуля common.utils.
2022-04-26 13:28:12,307 - DEBUG    - client.py - Разбор сообщения от сервера: {'response': 200}
2022-04-26 13:28:12,307 - DEBUG    - decos.py - Была вызвана функция process_response_ans с параметрами ({'response': 200},), {}.Вызов из модуля __main__.
2022-04-26 13:28:12,307 - INFO     - client.py - Установлено соединение с сервером. Ответ сервера: 200 : OK
2022-04-26 13:28:12,307 - DEBUG    - client.py - Запущены процессы
2022-04-26 13:28:12,807 - DEBUG    - decos.py - Была вызвана функция get_message с параметрами (<socket.socket fd=308, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 64869), raddr=('127.0.0.1', 7777)>,), {}.Вызов из модуля common.utils.
2022-04-26 13:28:12,807 - DEBUG    - client.py - Разбор сообщения от сервера: {'response': 200}
2022-04-26 13:28:12,807 - DEBUG    - decos.py - Была вызвана функция process_response_ans с параметрами ({'response': 200},), {}.Вызов из модуля __main__.
2022-04-26 13:28:12,807 - INFO     - client.py - Установлено соединение с сервером. Ответ сервера: 200 : OK
