2022-04-14 17:35:37,670 - DEBUG    - server.py - Разбор сообщения от клиента: {'action': 'message', 'time': 1649932537.6076555, 'account_name': 'Guest', 'mess_text': 'всем привет'} 
2022-04-14 17:35:37,670 - DEBUG    - decos.py - Была вызвана функция process_client_message с параметрами ({'action': 'message', 'time': 1649932537.6076555, 'account_name': 'Guest', 'mess_text': 'всем привет'}, [('Guest', 'всем привет')], <socket.socket fd=372, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50764)>), {}.Вызов из модуля __main__. 
2022-04-14 17:35:37,670 - DEBUG    - decos.py - Была вызвана функция send_message с параметрами (<socket.socket fd=148, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50763)>, {'action': 'message', 'sender': 'Guest', 'time': 1649932537.670181, 'mess_text': 'всем привет'}), {}.Вызов из модуля common.utils. 
2022-04-14 17:35:37,670 - DEBUG    - decos.py - Была вызвана функция send_message с параметрами (<socket.socket fd=372, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50764)>, {'action': 'message', 'sender': 'Guest', 'time': 1649932537.670181, 'mess_text': 'всем привет'}), {}.Вызов из модуля common.utils. 
2022-04-14 17:35:37,670 - DEBUG    - decos.py - Была вызвана функция send_message с параметрами (<socket.socket fd=428, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50765)>, {'action': 'message', 'sender': 'Guest', 'time': 1649932537.670181, 'mess_text': 'всем привет'}), {}.Вызов из модуля common.utils. 
2022-04-14 17:35:37,670 - DEBUG    - decos.py - Была вызвана функция send_message с параметрами (<socket.socket fd=412, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50766)>, {'action': 'message', 'sender': 'Guest', 'time': 1649932537.670181, 'mess_text': 'всем привет'}), {}.Вызов из модуля common.utils. 
2022-04-14 17:36:53,257 - DEBUG    - decos.py - Была вызвана функция get_message с параметрами (<socket.socket fd=148, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50763)>,), {}.Вызов из модуля common.utils. 
2022-04-14 17:36:53,257 - DEBUG    - server.py - Разбор сообщения от клиента: {'action': 'message', 'time': 1649932612.9138844, 'account_name': 'Guest', 'mess_text': 'как дела?'} 
2022-04-14 17:36:53,257 - DEBUG    - decos.py - Была вызвана функция process_client_message с параметрами ({'action': 'message', 'time': 1649932612.9138844, 'account_name': 'Guest', 'mess_text': 'как дела?'}, [('Guest', 'как дела?')], <socket.socket fd=148, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50763)>), {}.Вызов из модуля __main__. 
2022-04-14 17:36:53,257 - DEBUG    - decos.py - Была вызвана функция send_message с параметрами (<socket.socket fd=148, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50763)>, {'action': 'message', 'sender': 'Guest', 'time': 1649932613.2576349, 'mess_text': 'как дела?'}), {}.Вызов из модуля common.utils. 
2022-04-14 17:36:53,257 - DEBUG    - decos.py - Была вызвана функция send_message с параметрами (<socket.socket fd=372, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50764)>, {'action': 'message', 'sender': 'Guest', 'time': 1649932613.2576349, 'mess_text': 'как дела?'}), {}.Вызов из модуля common.utils. 
2022-04-14 17:36:53,257 - DEBUG    - decos.py - Была вызвана функция send_message с параметрами (<socket.socket fd=428, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50765)>, {'action': 'message', 'sender': 'Guest', 'time': 1649932613.2576349, 'mess_text': 'как дела?'}), {}.Вызов из модуля common.utils. 
2022-04-14 17:36:53,257 - DEBUG    - decos.py - Была вызвана функция send_message с параметрами (<socket.socket fd=412, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50766)>, {'action': 'message', 'sender': 'Guest', 'time': 1649932613.2576349, 'mess_text': 'как дела?'}), {}.Вызов из модуля common.utils. 
2022-04-14 17:37:42,152 - INFO     - server.py - Клиент ('127.0.0.1', 50763) отключился от сервера. 
2022-04-14 17:37:50,278 - INFO     - server.py - Клиент ('127.0.0.1', 50764) отключился от сервера. 
2022-04-14 17:38:00,968 - INFO     - server.py - Клиент ('127.0.0.1', 50765) отключился от сервера. 
2022-04-14 17:38:06,940 - DEBUG    - decos.py - Была вызвана функция arg_parser с параметрами (), {}.Вызов из модуля __main__. 
2022-04-14 17:38:06,940 - INFO     - server.py - Запущен сервер, порт для подключений: 7777, адрес с которого принимаются подключения: . Если адрес не указан, принимаются соединения с любых адресов. 
2022-04-14 17:38:07,236 - INFO     - server.py - Установлено соединение с ПК ('127.0.0.1', 50884) 
2022-04-14 17:38:07,236 - DEBUG    - decos.py - Была вызвана функция get_message с параметрами (<socket.socket fd=332, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50884)>,), {}.Вызов из модуля common.utils. 
2022-04-14 17:38:07,236 - DEBUG    - server.py - Разбор сообщения от клиента: {'action': 'presence', 'time': 1649932687.2365317, 'user': {'account_name': 'Guest'}} 
2022-04-14 17:38:07,236 - DEBUG    - decos.py - Была вызвана функция send_message с параметрами (<socket.socket fd=332, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50884)>, {'response': 200}), {}.Вызов из модуля common.utils. 
2022-04-14 17:38:07,236 - DEBUG    - decos.py - Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': 1649932687.2365317, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=332, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50884)>), {}.Вызов из модуля __main__. 
2022-04-14 17:38:07,252 - INFO     - server.py - Установлено соединение с ПК ('127.0.0.1', 50885) 
2022-04-14 17:38:07,252 - INFO     - server.py - Установлено соединение с ПК ('127.0.0.1', 50886) 
2022-04-14 17:38:07,252 - DEBUG    - decos.py - Была вызвана функция get_message с параметрами (<socket.socket fd=348, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50885)>,), {}.Вызов из модуля common.utils. 
2022-04-14 17:38:07,252 - DEBUG    - server.py - Разбор сообщения от клиента: {'action': 'presence', 'time': 1649932687.2521582, 'user': {'account_name': 'Guest'}} 
2022-04-14 17:38:07,252 - DEBUG    - decos.py - Была вызвана функция send_message с параметрами (<socket.socket fd=348, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50885)>, {'response': 200}), {}.Вызов из модуля common.utils. 
2022-04-14 17:38:07,252 - DEBUG    - decos.py - Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': 1649932687.2521582, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=348, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50885)>), {}.Вызов из модуля __main__. 
2022-04-14 17:38:07,267 - INFO     - server.py - Установлено соединение с ПК ('127.0.0.1', 50887) 
2022-04-14 17:38:07,267 - DEBUG    - decos.py - Была вызвана функция get_message с параметрами (<socket.socket fd=344, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50886)>,), {}.Вызов из модуля common.utils. 
2022-04-14 17:38:07,267 - DEBUG    - server.py - Разбор сообщения от клиента: {'action': 'presence', 'time': 1649932687.2521582, 'user': {'account_name': 'Guest'}} 
2022-04-14 17:38:07,267 - DEBUG    - decos.py - Была вызвана функция send_message с параметрами (<socket.socket fd=344, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50886)>, {'response': 200}), {}.Вызов из модуля common.utils. 
2022-04-14 17:38:07,267 - DEBUG    - decos.py - Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': 1649932687.2521582, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=344, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50886)>), {}.Вызов из модуля __main__. 
2022-04-14 17:38:07,767 - DEBUG    - decos.py - Была вызвана функция get_message с параметрами (<socket.socket fd=296, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50887)>,), {}.Вызов из модуля common.utils. 
2022-04-14 17:38:07,767 - DEBUG    - server.py - Разбор сообщения от клиента: {'action': 'presence', 'time': 1649932687.2677817, 'user': {'account_name': 'Guest'}} 
2022-04-14 17:38:07,767 - DEBUG    - decos.py - Была вызвана функция send_message с параметрами (<socket.socket fd=296, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50887)>, {'response': 200}), {}.Вызов из модуля common.utils. 
2022-04-14 17:38:07,767 - DEBUG    - decos.py - Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': 1649932687.2677817, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=296, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50887)>), {}.Вызов из модуля __main__. 
